nivel_lectura,porcentaje_acierto_quiz,cantidad_lecciones_dominadas,nivel_dificultad_recomendado
Intermedio,37.454011884736246,1,Leve
Avanzado,95.07143064099162,6,Avanzada
Intermedio,73.1993941811405,6,Avanzada
Avanzado,59.86584841970366,5,Moderada
Básico,15.601864044243651,3,Leve
Intermedio,15.599452033620265,0,Leve
Avanzado,5.8083612168199465,0,Leve
Básico,86.61761457749351,5,Avanzada
Básico,60.11150117432088,4,Moderada
Avanzado,70.80725777960456,6,Avanzada
Intermedio,2.0584494295802447,0,Leve
Intermedio,96.99098521619943,6,Avanzada
Básico,83.24426408004217,5,Avanzada
Intermedio,21.233911067827616,1,Leve
Intermedio,18.182496720710063,0,Leve
Intermedio,18.34045098534338,0,Leve
Básico,30.42422429595377,3,Leve
Avanzado,52.475643163223786,3,Moderada
Intermedio,43.194501864211574,1,Leve
Básico,29.122914019804192,0,Leve
Básico,61.18528947223795,3,Moderada
Avanzado,13.949386065204184,3,Leve
Intermedio,29.214464853521815,1,Moderada
Intermedio,36.63618432936917,0,Leve
Avanzado,45.606998421703594,2,Moderada
Avanzado,78.51759613930136,4,Avanzada
Básico,19.967378215835975,0,Leve
Básico,51.42344384136116,3,Moderada
Avanzado,59.24145688620425,3,Moderada
Intermedio,4.645041271999773,1,Leve
Básico,60.75448519014384,6,Avanzada
Básico,17.052412368729154,2,Leve
Intermedio,6.505159298527952,0,Leve
Básico,94.88855372533332,4,Avanzada
Intermedio,96.56320330745594,6,Avanzada
Intermedio,80.83973481164611,5,Avanzada
Intermedio,30.46137691733707,2,Leve
Avanzado,9.767211400638388,1,Leve
Avanzado,68.42330265121569,4,Moderada
Avanzado,44.01524937396013,2,Moderada
Intermedio,12.203823484477883,0,Leve
Intermedio,49.51769101112702,2,Moderada
Avanzado,3.4388521115218396,0,Avanzada
Básico,90.9320402078782,5,Avanzada
Intermedio,25.87799816000169,1,Leve
Básico,66.2522284353982,4,Moderada
Básico,31.171107608941096,2,Leve
Intermedio,52.00680211778108,5,Moderada
Intermedio,54.67102793432797,0,Moderada
Básico,18.485445552552704,2,Leve
Básico,96.95846277645586,6,Avanzada
Avanzado,77.51328233611146,2,Moderada
Avanzado,93.9498941564189,5,Avanzada
Intermedio,89.48273504276489,5,Avanzada
Avanzado,59.78999788110851,2,Moderada
Avanzado,92.18742350231169,5,Avanzada
Avanzado,8.84925020519195,0,Leve
Avanzado,19.59828624191452,3,Leve
Básico,4.522728891053807,1,Leve
Intermedio,32.53303307632643,3,Moderada
Avanzado,38.8677289689482,3,Moderada
Básico,27.134903177389592,0,Leve
Básico,82.87375091519293,4,Avanzada
Básico,35.67533266935893,3,Moderada
Avanzado,28.093450968738075,0,Leve
Avanzado,54.26960831582485,4,Moderada
Intermedio,14.092422497476264,1,Leve
Avanzado,80.21969807540397,4,Avanzada
Avanzado,7.455064367977082,1,Leve
Básico,98.68869366005173,6,Avanzada
Intermedio,77.22447692966574,4,Avanzada
Avanzado,19.87156815341724,3,Leve
Avanzado,0.5522117123602399,0,Leve
Básico,81.54614284548342,6,Avanzada
Básico,70.68573438476172,5,Avanzada
Avanzado,72.90071680409874,4,Avanzada
Intermedio,77.12703466859458,5,Avanzada
Intermedio,7.4044651734090365,0,Leve
Básico,35.84657285442726,3,Moderada
Básico,11.586905952512971,0,Leve
Avanzado,86.31034258755935,5,Avanzada
Básico,62.329812682755794,5,Moderada
Avanzado,33.08980248526492,1,Leve
Intermedio,6.355835028602364,0,Leve
Intermedio,31.09823217156622,0,Leve
Avanzado,32.518332202674706,3,Moderada
Básico,72.96061783380641,3,Moderada
Intermedio,63.75574713552131,6,Avanzada
Básico,88.72127425763266,3,Avanzada
Intermedio,47.22149251619493,5,Moderada
Avanzado,11.959424593830171,1,Leve
Avanzado,71.3244787222995,4,Avanzada
Avanzado,76.07850486168974,4,Avanzada
Intermedio,56.127719756949624,4,Moderada
Básico,77.0967179954561,5,Avanzada
Básico,49.379559636439076,4,Moderada
Básico,52.27328293819941,3,Moderada
Intermedio,42.75410183585496,3,Moderada
Intermedio,2.541912674409519,0,Leve
Intermedio,10.789142699330444,1,Leve
Intermedio,3.142918568673425,1,Leve
Intermedio,63.64104112637804,2,Moderada
Básico,31.435598107632668,0,Leve
Intermedio,50.85706911647028,4,Moderada
Intermedio,90.7566473926093,6,Avanzada
Básico,24.929222914887493,1,Leve
Intermedio,41.038292303562976,2,Moderada
Básico,75.55511385430486,5,Avanzada
Básico,22.879816549162246,1,Leve
Avanzado,7.697990982879299,0,Leve
Avanzado,28.9751452913768,2,Leve
Avanzado,16.122128725400444,0,Leve
Avanzado,92.96976523425731,6,Avanzada
Intermedio,80.8120379564417,3,Avanzada
Avanzado,63.34037565104234,5,Avanzada
Básico,87.14605901877177,6,Avanzada
Intermedio,80.36720768991145,5,Avanzada
Avanzado,18.657005888603585,2,Leve
Básico,89.25589984899777,6,Avanzada
Intermedio,53.93422419156507,4,Moderada
Intermedio,80.74401551640625,3,Avanzada
Avanzado,89.60912999234932,4,Avanzada
Intermedio,31.800347497186387,1,Leve
Básico,11.005192452767677,1,Leve
Intermedio,22.793516254194166,2,Leve
Básico,42.71077886262563,2,Moderada
Intermedio,81.80147659224932,5,Avanzada
Avanzado,86.07305832563435,4,Avanzada
Básico,0.6952130531190703,0,Leve
Intermedio,51.07473025775657,1,Moderada
Intermedio,41.7411003148779,1,Leve
Intermedio,22.210781047073024,0,Leve
Básico,11.98653673336828,0,Leve
Básico,33.7615171403628,3,Moderada
Básico,94.29097039125192,5,Avanzada
Avanzado,32.320293202075526,5,Avanzada
Avanzado,51.87906217433661,4,Moderada
Básico,70.30189588951778,4,Avanzada
Intermedio,36.3629602379294,1,Leve
Avanzado,97.17820827209607,6,Avanzada
Básico,96.24472949421113,5,Avanzada
Intermedio,25.178229582536417,2,Leve
Avanzado,49.72485058923854,6,Moderada
Intermedio,30.087830981676966,2,Leve
Intermedio,28.484049437746762,3,Leve
Intermedio,3.6886947354532795,0,Leve
Intermedio,60.956433397989684,4,Moderada
Avanzado,50.26790232288615,5,Moderada
Avanzado,5.147875124998935,0,Leve
Avanzado,27.864646423661142,4,Moderada
Básico,90.82658859666537,6,Avanzada
Avanzado,23.95618906669724,1,Leve
Intermedio,14.48948720912231,2,Leve
Avanzado,48.9452760277563,4,Leve
Intermedio,98.56504541106007,6,Avanzada
Básico,24.20552715115004,0,Leve
Intermedio,67.21355474058785,3,Moderada
Intermedio,76.16196153287176,4,Avanzada
Intermedio,23.763754399239968,1,Avanzada
Básico,72.82163486118596,5,Avanzada
Avanzado,36.77831327192532,2,Leve
Avanzado,63.23058305935795,2,Moderada
Básico,63.35297107608947,4,Moderada
Intermedio,53.57746840747585,4,Moderada
Avanzado,9.02897700544083,1,Leve
Básico,83.5302495589238,6,Avanzada
Avanzado,32.07800649717358,3,Moderada
Básico,18.651851039985424,2,Leve
Intermedio,4.077514155476392,0,Leve
Avanzado,59.08929431882418,2,Moderada
Básico,67.75643618422824,5,Avanzada
Avanzado,1.6587828927856152,0,Moderada
Avanzado,51.2093058299281,3,Moderada
Avanzado,22.649577519793795,0,Leve
Avanzado,64.51727904094498,3,Avanzada
Básico,17.436642900499145,2,Leve
Intermedio,69.09377381024659,4,Avanzada
Básico,38.67353463005374,3,Moderada
Básico,93.67299887367345,6,Avanzada
Básico,13.752094414599325,1,Leve
Intermedio,34.10663510502585,3,Moderada
Avanzado,11.347352124058908,0,Leve
Avanzado,92.46936182785628,6,Avanzada
Avanzado,87.7339353380981,5,Leve
